Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-22,4,Starboy,The Weeknd,2998096,2017-01-22,global,
2017-01-22,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2976059,2017-01-22,global,
2017-01-22,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2910766,2017-01-22,global,
2017-01-22,7,Closer,The Chainsmokers,2530491,2017-01-22,global,
2017-01-22,8,Say You Won't Let Go,James Arthur,2501127,2017-01-22,global,
2017-01-22,9,Fake Love,Drake,2330540,2017-01-22,global,
2017-01-22,10,I Feel It Coming,The Weeknd,2322637,2017-01-22,global,
2017-01-23,1,Shape of You,Ed Sheeran,7058537,2017-01-23,global,
2017-01-23,2,Paris,The Chainsmokers,3845754,2017-01-23,global,
2017-01-23,3,Castle on the Hill,Ed Sheeran,3487635,2017-01-23,global,
2017-01-23,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3220708,2017-01-23,global,
2017-01-23,5,Starboy,The Weeknd,3134154,2017-01-23,global,
2017-01-23,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3062127,2017-01-23,global,
2017-01-23,7,Say You Won't Let Go,James Arthur,2649878,2017-01-23,global,
2017-01-23,8,Closer,The Chainsmokers,2621619,2017-01-23,global,
2017-01-23,9,I Feel It Coming,The Weeknd,2498506,2017-01-23,global,
2017-01-23,10,Don't Wanna Know,Maroon 5,2436688,2017-01-23,global,
2017-01-24,1,Shape of You,Ed Sheeran,7169081,2017-01-24,global,
2017-01-24,2,Paris,The Chainsmokers,4003790,2017-01-24,global,
2017-01-24,3,Castle on the Hill,Ed Sheeran,3577062,2017-01-24,global,
2017-01-24,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3322706,2017-01-24,global,
2017-01-24,5,Starboy,The Weeknd,3199886,2017-01-24,global,
2017-01-24,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3145946,2017-01-24,global,
2017-01-24,7,Say You Won't Let Go,James Arthur,2729388,2017-01-24,global,
